gvkey,permno,adate,qdate,public_date,debt_capital,TICKER
002403,19393,12/31/2015,09/30/2016,01/31/2017,0.358,BMY
002403,19393,12/31/2016,12/31/2016,02/28/2017,0.341,BMY
002403,19393,12/31/2016,12/31/2016,03/31/2017,0.341,BMY
002403,19393,12/31/2016,12/31/2016,04/30/2017,0.341,BMY
002403,19393,12/31/2016,03/31/2017,05/31/2017,0.363,BMY
002403,19393,12/31/2016,03/31/2017,06/30/2017,0.363,BMY
002403,19393,12/31/2016,03/31/2017,07/31/2017,0.363,BMY
002403,19393,12/31/2016,06/30/2017,08/31/2017,0.374,BMY
002403,19393,12/31/2016,06/30/2017,09/30/2017,0.374,BMY
002403,19393,12/31/2016,06/30/2017,10/31/2017,0.374,BMY
002403,19393,12/31/2016,09/30/2017,11/30/2017,0.389,BMY
002403,19393,12/31/2016,09/30/2017,12/31/2017,0.389,BMY
002403,19393,12/31/2016,09/30/2017,01/31/2018,0.389,BMY
002403,19393,12/31/2017,12/31/2017,02/28/2018,0.465,BMY
002403,19393,12/31/2017,12/31/2017,03/31/2018,0.465,BMY
002403,19393,12/31/2017,12/31/2017,04/30/2018,0.465,BMY
002403,19393,12/31/2017,03/31/2018,05/31/2018,0.423,BMY
002403,19393,12/31/2017,03/31/2018,06/30/2018,0.423,BMY
002403,19393,12/31/2017,03/31/2018,07/31/2018,0.423,BMY
002403,19393,12/31/2017,06/30/2018,08/31/2018,0.431,BMY
002403,19393,12/31/2017,06/30/2018,09/30/2018,0.431,BMY
002403,19393,12/31/2017,06/30/2018,10/31/2018,0.431,BMY
002403,19393,12/31/2017,09/30/2018,11/30/2018,0.429,BMY
002403,19393,12/31/2017,09/30/2018,12/31/2018,0.429,BMY
002403,19393,12/31/2017,09/30/2018,01/31/2019,0.429,BMY
002403,19393,12/31/2018,12/31/2018,02/28/2019,0.397,BMY
002403,19393,12/31/2018,12/31/2018,03/31/2019,0.397,BMY
002403,19393,12/31/2018,12/31/2018,04/30/2019,0.397,BMY
002403,19393,12/31/2018,03/31/2019,05/31/2019,0.396,BMY
002403,19393,12/31/2018,03/31/2019,06/30/2019,0.396,BMY
002403,19393,12/31/2018,03/31/2019,07/31/2019,0.396,BMY
002403,19393,12/31/2018,06/30/2019,08/31/2019,0.480,BMY
002403,19393,12/31/2018,06/30/2019,09/30/2019,0.480,BMY
002403,19393,12/31/2018,06/30/2019,10/31/2019,0.480,BMY
002403,19393,12/31/2018,09/30/2019,11/30/2019,0.536,BMY
002403,19393,12/31/2018,09/30/2019,12/31/2019,0.536,BMY
002403,19393,12/31/2018,09/30/2019,01/31/2020,0.536,BMY
002403,19393,12/31/2019,12/31/2019,02/29/2020,0.492,BMY
002403,19393,12/31/2019,12/31/2019,03/31/2020,0.492,BMY
002403,19393,12/31/2019,12/31/2019,04/30/2020,0.492,BMY
002403,19393,12/31/2019,03/31/2020,05/31/2020,0.535,BMY
002403,19393,12/31/2019,03/31/2020,06/30/2020,0.535,BMY
002403,19393,12/31/2019,03/31/2020,07/31/2020,0.535,BMY
002403,19393,12/31/2019,06/30/2020,08/31/2020,0.515,BMY
002403,19393,12/31/2019,06/30/2020,09/30/2020,0.515,BMY
002403,19393,12/31/2019,06/30/2020,10/31/2020,0.515,BMY
002403,19393,12/31/2019,09/30/2020,11/30/2020,0.498,BMY
002403,19393,12/31/2019,09/30/2020,12/31/2020,0.498,BMY
002403,19393,12/31/2019,09/30/2020,01/31/2021,0.498,BMY
