gvkey,iid,datadate,tic,conm,prccd,fyrc
002403,01,01/03/2017,BMY,BRISTOL-MYERS SQUIBB CO,59.4500,12
002403,01,01/04/2017,BMY,BRISTOL-MYERS SQUIBB CO,59.1400,12
002403,01,01/05/2017,BMY,BRISTOL-MYERS SQUIBB CO,60.1300,12
002403,01,01/06/2017,BMY,BRISTOL-MYERS SQUIBB CO,59.9500,12
002403,01,01/09/2017,BMY,BRISTOL-MYERS SQUIBB CO,59.7300,12
002403,01,01/10/2017,BMY,BRISTOL-MYERS SQUIBB CO,59.9800,12
002403,01,01/11/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.8000,12
002403,01,01/12/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.5500,12
002403,01,01/13/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.2200,12
002403,01,01/17/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.2800,12
002403,01,01/18/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.0700,12
002403,01,01/19/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.4900,12
002403,01,01/20/2017,BMY,BRISTOL-MYERS SQUIBB CO,49.2300,12
002403,01,01/23/2017,BMY,BRISTOL-MYERS SQUIBB CO,50.0000,12
002403,01,01/24/2017,BMY,BRISTOL-MYERS SQUIBB CO,48.9600,12
002403,01,01/25/2017,BMY,BRISTOL-MYERS SQUIBB CO,49.5500,12
002403,01,01/26/2017,BMY,BRISTOL-MYERS SQUIBB CO,46.8200,12
002403,01,01/27/2017,BMY,BRISTOL-MYERS SQUIBB CO,47.7400,12
002403,01,01/30/2017,BMY,BRISTOL-MYERS SQUIBB CO,48.6900,12
002403,01,01/31/2017,BMY,BRISTOL-MYERS SQUIBB CO,49.1600,12
002403,01,02/01/2017,BMY,BRISTOL-MYERS SQUIBB CO,49.2900,12
002403,01,02/02/2017,BMY,BRISTOL-MYERS SQUIBB CO,50.5000,12
002403,01,02/03/2017,BMY,BRISTOL-MYERS SQUIBB CO,50.7800,12
002403,01,02/06/2017,BMY,BRISTOL-MYERS SQUIBB CO,51.0400,12
002403,01,02/07/2017,BMY,BRISTOL-MYERS SQUIBB CO,51.6600,12
002403,01,02/08/2017,BMY,BRISTOL-MYERS SQUIBB CO,52.0000,12
002403,01,02/09/2017,BMY,BRISTOL-MYERS SQUIBB CO,51.5100,12
002403,01,02/10/2017,BMY,BRISTOL-MYERS SQUIBB CO,51.6500,12
002403,01,02/13/2017,BMY,BRISTOL-MYERS SQUIBB CO,52.0300,12
002403,01,02/14/2017,BMY,BRISTOL-MYERS SQUIBB CO,53.7100,12
002403,01,02/15/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.0300,12
002403,01,02/16/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.2800,12
002403,01,02/17/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.5900,12
002403,01,02/21/2017,BMY,BRISTOL-MYERS SQUIBB CO,54.7800,12
002403,01,02/22/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.3500,12
002403,01,02/23/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.7700,12
002403,01,02/24/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.4400,12
002403,01,02/27/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.5600,12
002403,01,02/28/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.7100,12
002403,01,03/01/2017,BMY,BRISTOL-MYERS SQUIBB CO,57.1800,12
002403,01,03/02/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.8600,12
002403,01,03/03/2017,BMY,BRISTOL-MYERS SQUIBB CO,57.2600,12
002403,01,03/06/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.9700,12
002403,01,03/07/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.3300,12
002403,01,03/08/2017,BMY,BRISTOL-MYERS SQUIBB CO,57.1200,12
002403,01,03/09/2017,BMY,BRISTOL-MYERS SQUIBB CO,57.9900,12
002403,01,03/10/2017,BMY,BRISTOL-MYERS SQUIBB CO,58.3200,12
002403,01,03/13/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.9300,12
002403,01,03/14/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.6900,12
002403,01,03/15/2017,BMY,BRISTOL-MYERS SQUIBB CO,57.6500,12
002403,01,03/16/2017,BMY,BRISTOL-MYERS SQUIBB CO,57.3100,12
002403,01,03/17/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.2900,12
002403,01,03/20/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.4100,12
002403,01,03/21/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.7100,12
002403,01,03/22/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.3600,12
002403,01,03/23/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.7700,12
002403,01,03/24/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.8900,12
002403,01,03/27/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.0400,12
002403,01,03/28/2017,BMY,BRISTOL-MYERS SQUIBB CO,56.2000,12
002403,01,03/29/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.9500,12
002403,01,03/30/2017,BMY,BRISTOL-MYERS SQUIBB CO,55.3600,12
